FUNCTION_NAME	DESCRIPTION	ORIGIN	INTERFACE_NAME
"DATE"	"Returns the specified date in datetime format."	"4"	"DATETIME"
"DATEDIFF"	"Returns the number of units (unit specified in Interval) between the input two dates."	"4"	"DATETIME"
"DATEVALUE"	"Converts a date in the form of text to a date in datetime format."	"4"	"DATETIME"
"DAY"	"Returns a number from 1 to 31 representing the day of the month."	"4"	"DATETIME"
"EDATE"	"Returns the date that is the indicated number of months before or after the start date."	"4"	"DATETIME"
"EOMONTH"	"Returns the date in datetime format of the last day of the month before or after a specified number of months."	"4"	"DATETIME"
"HOUR"	"Returns the hour as a number from 0 (12:00 A.M.) to 23 (11:00 P.M.)."	"4"	"DATETIME"
"MINUTE"	"Returns a number from 0 to 59 representing the minute."	"4"	"DATETIME"
"MONTH"	"Returns a number from 1 (January) to 12 (December) representing the month."	"4"	"DATETIME"
"NOW"	"Returns the current date and time in datetime format."	"4"	"DATETIME"
"SECOND"	"Returns a number from 0 to 59 representing the second."	"4"	"DATETIME"
"TIME"	"Converts hours, minutes, and seconds given as numbers to a time in datetime format."	"4"	"DATETIME"
"TIMEVALUE"	"Converts a time in text format to a time in datetime format."	"4"	"DATETIME"
"TODAY"	"Returns the current date in datetime format."	"4"	"DATETIME"
"UTCNOW"	"Returns the current date and time in datetime format expressed in Coordinated Universal Time (UTC)."	"4"	"DATETIME"
"UTCTODAY"	"Returns the current date in datetime format expressed in Coordinated Universal Time (UTC)."	"4"	"DATETIME"
"WEEKDAY"	"Returns a number from 1 to 7 identifying the day of the week of a date."	"4"	"DATETIME"
"WEEKNUM"	"Returns the week number in the year."	"4"	"DATETIME"
"YEAR"	"Returns the year of a date as a four digit integer."	"4"	"DATETIME"
"YEARFRAC"	"Returns the year fraction representing the number of whole days between start_date and end_date."	"4"	"DATETIME"
"COMBINEVALUES"	"Combines the given set of operands using a specified delimiter."	"4"	"INFO"
"CONTAINS"	"Returns TRUE if there exists at least one row where all columns have specified values."	"4"	"INFO"
"CONTAINSROW"	"Returns TRUE if there exists at least one row where all columns have specified values."	"4"	"INFO"
"CUSTOMDATA"	"Returns the value of the CustomData connection string property if defined; otherwise, BLANK()."	"4"	"INFO"
"ERROR"	"Raises a user specified error."	"4"	"INFO"
"HASONEFILTER"	"Returns true the specified table or column have one and only one filter."	"4"	"INFO"
"HASONEVALUE"	"Returns true when there's only one value in the specified column."	"4"	"INFO"
"ISBLANK"	"Checks whether a value is blank, and returns TRUE or FALSE."	"4"	"INFO"
"ISCROSSFILTERED"	"Returns true when the specified table or column is crossfiltered."	"4"	"INFO"
"ISEMPTY"	"Returns true if the specified table or table-expression is Empty."	"4"	"INFO"
"ISERROR"	"Checks whether a value is an error, and returns TRUE or FALSE."	"4"	"INFO"
"ISEVEN"	"Returns TRUE if number is even, or FALSE if number is odd."	"4"	"INFO"
"ISFILTERED"	"Returns true when there are direct filters on the specified column."	"4"	"INFO"
"ISLOGICAL"	"Checks whether a value is a logical value (TRUE or FALSE), and returns TRUE or FALSE."	"4"	"INFO"
"ISNONTEXT"	"Checks whether a value is not text (blank cells are not text), and returns TRUE or FALSE."	"4"	"INFO"
"ISNUMBER"	"Checks whether a value is a number, and returns TRUE or FALSE."	"4"	"INFO"
"ISODD"	"Returns TRUE if number is odd, or FALSE if number is even."	"4"	"INFO"
"ISSUBTOTAL"	"Returns TRUE if the current row contains a subtotal for a specified column and FALSE otherwise."	"4"	"INFO"
"ISTEXT"	"Checks whether a value is text, and returns TRUE or FALSE."	"4"	"INFO"
"USERNAME"	"Returns the domain name and user name of the current connection with the format of domain-name\user-name."	"4"	"INFO"
"USEROBJECTID"	"Returns the current user's Object ID from Azure AD for Azure Analysis Server and the current user's SID for on-premise Analysis Server."	"4"	"INFO"
"USERPRINCIPALNAME"	"Returns the user principal name."	"4"	"INFO"
